employee_id,company_id,dept,seniority,SALARY,join_date,quit_date,churn,duration_jours
139022,2,data_science,20,317000,2011-11-28,2014-11-21,yes,1089
945037,9,engineer,27,192000,2015-05-04,NA,No,
695896,7,sales,7,1.00E+05,2012-07-30,2013-07-12,yes,347
280427,1,marketing,9,112000,2011-06-13,2015-05-15,yes,1432
611637,3,marketing,2,39000,2012-06-25,2014-09-26,yes,823
437897,10,customer_service,29,99000,2014-07-29,2015-08-28,yes,395
960822,9,customer_service,9,70000,2012-01-09,2013-03-08,yes,424
789114,1,data_science,2,76000,2012-05-07,2015-07-24,yes,1173
87671,1,sales,9,122000,2013-12-16,2015-01-30,yes,410
75539,1,engineer,13,180000,2012-06-04,NA,No,
244626,1,marketing,3,47000,2012-03-12,2013-04-05,yes,389
957742,1,customer_service,29,141000,2013-07-15,2014-05-02,yes,291
268784,4,marketing,5,99000,2012-02-21,2014-12-19,yes,1032
701728,2,customer_service,19,109000,2012-08-27,2014-03-25,yes,575
54096,1,data_science,23,338000,2011-09-14,2013-10-18,yes,765
41164,1,customer_service,28,133000,2014-09-02,2015-09-04,yes,367
779068,2,sales,25,166000,2014-11-24,2015-10-30,yes,340
503937,3,customer_service,5,68000,2014-12-29,NA,No,
47442,1,customer_service,8,90000,2013-10-07,NA,No,
928528,1,data_science,18,3.00E+05,2015-03-23,NA,No,
263170,2,data_science,28,265000,2012-10-22,NA,No,
707610,7,marketing,27,158000,2012-06-25,2015-02-20,yes,970
864762,3,customer_service,22,89000,2013-06-03,2015-02-27,yes,634
428183,1,data_science,1,79000,2014-10-13,NA,No,
727560,1,design,29,216000,2011-03-21,2013-01-11,yes,662
641843,3,customer_service,18,90000,2012-01-23,2014-04-04,yes,802
752719,1,sales,4,57000,2013-03-13,2014-02-21,yes,345
970566,8,sales,4,39000,2011-04-18,2015-02-06,yes,1390
611675,3,customer_service,8,68000,2012-10-08,2013-09-27,yes,354
176568,5,marketing,18,151000,2015-03-30,NA,No,
507843,5,engineer,23,275000,2011-08-02,NA,No,
895072,7,marketing,23,180000,2015-11-16,NA,No,
678783,2,marketing,15,216000,2014-12-01,NA,No,
660969,1,customer_service,23,126000,2014-03-10,NA,No,
539604,9,customer_service,13,60000,2015-07-13,NA,No,
244440,7,marketing,7,87000,2013-07-16,2014-06-20,yes,339
511426,3,customer_service,28,99000,2013-11-11,2015-10-09,yes,697
58586,2,engineer,28,357000,2014-07-14,NA,No,
312508,1,marketing,24,170000,2012-02-29,2013-04-01,yes,397
998574,5,marketing,6,106000,2013-09-23,2015-07-31,yes,676
389668,1,sales,5,113000,2012-01-03,2012-10-19,yes,290
176931,2,engineer,25,314000,2012-01-30,2015-01-02,yes,1068
849741,1,customer_service,22,123000,2015-07-07,NA,No,
153827,8,marketing,19,150000,2011-07-18,2014-08-15,yes,1124
939712,2,customer_service,12,68000,2015-06-08,NA,No,
172148,4,engineer,22,243000,2014-12-22,NA,No,
821911,6,engineer,2,50000,2013-12-02,NA,No,
440303,8,customer_service,1,24000,2011-09-19,2012-10-26,yes,403
669716,2,data_science,23,323000,2012-02-27,2015-02-27,yes,1096
891337,8,data_science,14,167000,2013-12-30,NA,No,
751235,3,sales,13,99000,2014-07-21,NA,No,
248453,4,customer_service,15,107000,2012-01-17,2014-09-26,yes,983
695819,5,customer_service,10,66000,2013-07-01,2014-06-27,yes,361
763336,7,customer_service,8,61000,2014-02-25,NA,No,
58880,10,customer_service,25,97000,2015-02-17,NA,No,
713537,2,customer_service,15,123000,2015-08-03,NA,No,
80669,6,design,24,130000,2011-10-03,2012-09-28,yes,361
520415,3,customer_service,14,68000,2011-09-26,2012-08-29,yes,338
908625,4,engineer,16,245000,2014-04-14,2015-05-01,yes,382
593208,3,customer_service,13,63000,2012-11-05,NA,No,
518561,4,design,18,165000,2013-04-08,2014-02-13,yes,311
712645,1,customer_service,27,123000,2011-10-03,2014-11-21,yes,1145
527399,2,data_science,6,203000,2015-01-26,NA,No,
472895,2,sales,28,206000,2014-02-12,NA,No,
684003,9,engineer,5,156000,2015-08-31,NA,No,
473490,1,design,18,216000,2011-08-01,2014-09-02,yes,1128
749119,1,data_science,22,304000,2015-10-07,NA,No,
74405,4,customer_service,7,67000,2013-09-16,2014-08-20,yes,338
618285,7,customer_service,22,94000,2015-01-20,NA,No,
725049,1,data_science,28,284000,2014-02-03,NA,No,
301919,1,customer_service,17,132000,2012-12-17,2014-01-24,yes,403
657940,1,customer_service,20,122000,2015-08-03,NA,No,
901938,3,customer_service,24,101000,2013-02-06,NA,No,
949168,1,customer_service,6,74000,2014-05-05,NA,No,
749309,1,engineer,15,299000,2014-10-27,NA,No,
765089,1,marketing,17,227000,2013-01-10,2013-12-27,yes,351
102091,4,customer_service,7,74000,2014-12-15,NA,No,
120280,1,data_science,22,303000,2014-11-03,2015-10-23,yes,354
98699,1,customer_service,16,131000,2013-01-22,2015-02-13,yes,752
396099,10,engineer,15,216000,2013-12-30,2015-10-23,yes,662
383357,8,engineer,12,132000,2012-10-23,2013-12-06,yes,409
113155,3,engineer,8,154000,2014-04-14,NA,No,
348281,2,engineer,6,215000,2011-12-12,2015-04-10,yes,1215
74428,1,customer_service,15,115000,2015-06-02,NA,No,
879533,1,marketing,9,108000,2013-05-30,NA,No,
701600,1,data_science,14,186000,2012-07-24,NA,No,
129130,3,design,22,158000,2014-09-10,NA,No,
720874,6,design,6,115000,2015-09-28,NA,No,
465890,1,marketing,2,49000,2012-02-27,2014-05-16,yes,809
199977,2,data_science,12,198000,2013-06-24,NA,No,
391536,2,engineer,2,79000,2014-07-24,NA,No,
890774,9,data_science,5,179000,2014-03-10,NA,No,
315388,3,engineer,21,274000,2013-12-30,NA,No,
169449,6,customer_service,13,73000,2014-06-09,NA,No,
11820,5,design,21,158000,2012-02-13,2015-10-09,yes,1334
96220,1,data_science,25,319000,2012-11-07,2015-11-04,yes,1092
368885,1,customer_service,16,118000,2011-08-29,2014-04-25,yes,970
66309,6,customer_service,13,64000,2013-07-17,2014-08-08,yes,387
535005,4,sales,9,96000,2015-10-05,NA,No,
705974,3,sales,10,98000,2012-07-11,2015-03-27,yes,989
798925,10,customer_service,13,71000,2015-05-18,NA,No,
319360,7,data_science,1,64000,2011-03-22,2012-04-13,yes,388
423294,3,customer_service,8,61000,2012-01-17,2013-11-08,yes,661
518099,1,engineer,10,201000,2011-11-28,2015-04-10,yes,1229
878745,2,data_science,16,308000,2014-05-05,NA,No,
21574,4,customer_service,2,27000,2011-01-24,2012-02-17,yes,389
280348,1,data_science,12,242000,2012-01-03,2012-11-30,yes,332
37403,5,customer_service,23,98000,2011-10-17,2012-10-26,yes,375
7557,2,sales,7,137000,2011-02-14,2012-02-10,yes,361
357361,1,sales,24,176000,2012-07-19,2013-06-14,yes,330
856058,10,marketing,16,184000,2015-01-21,NA,No,
130736,1,sales,12,127000,2012-11-12,2013-12-20,yes,403
512086,3,sales,12,103000,2012-10-08,2014-10-24,yes,746
957379,1,customer_service,18,111000,2015-02-23,NA,No,
632861,1,customer_service,15,113000,2012-11-12,NA,No,
831946,4,sales,13,88000,2011-08-08,2012-08-17,yes,375
753949,2,customer_service,22,128000,2015-11-30,NA,No,
513369,6,data_science,21,213000,2013-09-23,2014-09-26,yes,368
37349,3,customer_service,24,107000,2013-04-15,2014-05-23,yes,403
330923,1,customer_service,25,131000,2014-02-24,NA,No,
747178,6,marketing,16,191000,2011-09-19,2015-09-11,yes,1453
933558,2,engineer,29,317000,2012-05-14,2015-10-30,yes,1264
573147,9,customer_service,23,76000,2015-03-09,NA,No,
469641,2,engineer,14,220000,2015-05-18,NA,No,
511955,1,customer_service,23,119000,2011-04-04,2015-09-18,yes,1628
337628,1,customer_service,22,137000,2013-11-04,2014-12-19,yes,410
438492,4,engineer,8,150000,2014-12-22,NA,No,
42459,6,customer_service,27,95000,2012-10-01,2013-11-08,yes,403
520199,2,data_science,2,87000,2011-08-22,2013-05-17,yes,634
183452,1,marketing,3,51000,2014-03-31,NA,No,
345027,5,customer_service,1,26000,2013-12-16,2014-10-17,yes,305
823460,2,customer_service,8,93000,2015-05-18,NA,No,
826151,1,engineer,14,187000,2015-02-02,NA,No,
722528,1,customer_service,3,30000,2015-04-20,NA,No,
966441,3,sales,2,44000,2012-07-02,2013-06-21,yes,354
565100,7,engineer,5,155000,2015-11-10,NA,No,
57435,1,data_science,19,287000,2011-04-05,2012-06-13,yes,435
379266,10,customer_service,18,90000,2011-09-12,2012-09-14,yes,368
709392,1,data_science,28,326000,2012-08-20,2015-07-10,yes,1054
933798,1,marketing,27,2.00E+05,2012-12-31,2015-01-12,yes,742
294709,1,sales,1,56000,2014-03-31,2015-02-06,yes,312
760218,4,marketing,11,124000,2015-09-21,NA,No,
127607,2,engineer,7,209000,2011-06-20,2014-11-07,yes,1236
990429,1,engineer,1,77000,2011-11-15,2014-07-25,yes,983
214965,5,design,6,94000,2011-09-26,2015-06-04,yes,1347
168979,4,sales,19,166000,2014-03-03,2015-03-20,yes,382
227144,2,customer_service,20,125000,2011-08-08,2012-06-22,yes,319
46845,2,sales,1,45000,2015-10-26,NA,No,
72538,8,engineer,27,274000,2013-03-11,NA,No,
377002,1,engineer,15,304000,2014-05-19,NA,No,
279201,7,data_science,16,219000,2012-11-19,2015-01-12,yes,784
839686,8,customer_service,29,98000,2014-09-08,2015-07-31,yes,326
278601,3,customer_service,6,62000,2011-04-21,2014-08-29,yes,1226
267930,3,data_science,17,281000,2011-01-26,2012-01-27,yes,366
701397,1,customer_service,1,26000,2012-04-23,NA,No,
762509,1,customer_service,10,70000,2013-09-09,2014-08-08,yes,333
987465,9,engineer,9,162000,2011-03-21,2014-02-28,yes,1075
364854,1,data_science,21,319000,2015-12-07,NA,No,
369519,1,marketing,23,236000,2011-12-27,2015-01-02,yes,1102
965576,6,data_science,20,273000,2013-11-18,NA,No,
55818,1,marketing,26,189000,2013-06-24,2015-07-10,yes,746
240363,6,data_science,6,167000,2011-10-31,2012-11-09,yes,375
142885,1,customer_service,17,119000,2015-05-26,NA,No,
43322,8,customer_service,26,105000,2015-06-08,NA,No,
807289,1,data_science,16,319000,2011-03-14,2012-01-27,yes,319
48387,9,customer_service,10,51000,2014-04-08,NA,No,
735300,1,data_science,19,343000,2013-06-24,NA,No,
84039,2,customer_service,11,77000,2011-09-26,2013-05-24,yes,606
284117,1,customer_service,5,81000,2013-06-24,2014-05-30,yes,340
845186,4,engineer,11,185000,2011-11-07,2012-12-28,yes,417
687060,2,sales,25,202000,2013-09-09,2014-10-09,yes,395
268518,7,data_science,26,221000,2014-07-21,2015-09-04,yes,410
255166,1,customer_service,7,73000,2011-06-13,2014-03-21,yes,1012
626015,6,design,29,167000,2015-10-05,NA,No,
998140,1,customer_service,20,126000,2011-10-10,2013-01-18,yes,466
40297,3,marketing,4,42000,2012-02-21,2015-09-04,yes,1291
663378,2,engineer,13,199000,2011-03-21,2014-08-01,yes,1229
603597,1,engineer,26,277000,2012-06-25,NA,No,
772399,5,marketing,4,34000,2013-12-16,NA,No,
549063,4,engineer,12,163000,2011-08-24,2014-08-22,yes,1094
814519,1,customer_service,13,76000,2011-06-13,2015-01-30,yes,1327
677548,5,data_science,23,218000,2013-10-01,2014-11-28,yes,423
292886,2,data_science,2,71000,2013-07-08,NA,No,
88192,1,customer_service,17,113000,2013-11-18,NA,No,
310716,3,engineer,16,239000,2015-11-30,NA,No,
492306,2,customer_service,23,125000,2014-12-22,NA,No,
727419,7,marketing,9,119000,2012-08-27,2014-04-21,yes,602
694006,4,customer_service,22,97000,2014-03-24,NA,No,
589003,2,customer_service,22,134000,2015-10-26,NA,No,
100485,3,marketing,13,83000,2012-03-05,2014-02-14,yes,711
616385,3,sales,22,160000,2015-01-07,NA,No,
478322,2,customer_service,19,121000,2015-10-12,NA,No,
312366,9,customer_service,1,24000,2012-04-23,2014-04-25,yes,732
921656,9,marketing,14,117000,2013-05-13,NA,No,
570564,1,customer_service,17,110000,2013-04-15,2015-06-12,yes,788
806748,4,customer_service,17,91000,2015-04-20,NA,No,
404492,8,engineer,13,191000,2014-01-06,NA,No,
931750,7,marketing,16,202000,2014-02-24,2015-02-13,yes,354
383204,2,sales,19,201000,2013-12-09,2014-11-28,yes,354
357555,9,sales,28,178000,2015-01-26,NA,No,
54806,4,customer_service,18,90000,2012-04-23,2013-04-05,yes,347
425545,11,engineer,26,203000,2013-09-12,2014-07-18,yes,309
360494,1,sales,5,157000,2012-06-07,2013-06-28,yes,386
953784,2,customer_service,17,117000,2014-06-23,NA,No,
66079,5,engineer,10,159000,2013-04-15,2014-05-02,yes,382
496386,4,customer_service,9,73000,2013-09-09,2014-09-26,yes,382
422942,9,customer_service,12,64000,2015-09-14,NA,No,
947071,1,sales,3,54000,2013-11-26,NA,No,
435919,1,marketing,11,126000,2012-09-17,NA,No,
472690,3,engineer,8,159000,2013-11-18,2015-01-23,yes,431
404476,1,design,29,156000,2015-11-25,NA,No,
413486,1,customer_service,18,126000,2013-04-15,2014-05-23,yes,403
381998,6,sales,19,167000,2011-10-10,2012-09-28,yes,354
236704,2,customer_service,28,117000,2011-03-28,2012-02-24,yes,333
24132,4,marketing,5,114000,2013-07-18,2014-07-08,yes,355
828900,5,design,18,136000,2013-06-03,2014-06-20,yes,382
707536,4,engineer,8,174000,2013-07-01,2014-06-13,yes,347
972591,1,customer_service,24,141000,2011-08-29,2013-04-26,yes,606
774429,1,design,23,172000,2012-10-15,2013-09-19,yes,339
596215,4,customer_service,7,61000,2015-02-09,NA,No,
124892,6,customer_service,8,72000,2013-07-15,2015-07-17,yes,732
515467,4,marketing,19,172000,2012-09-19,2014-09-26,yes,737
437146,5,marketing,13,84000,2014-02-18,NA,No,
83418,1,engineer,6,147000,2013-06-10,2014-07-11,yes,396
414164,1,engineer,11,213000,2015-08-10,NA,No,
911280,1,customer_service,12,81000,2014-10-06,NA,No,
766599,1,customer_service,26,128000,2014-12-30,NA,No,
704356,1,sales,28,198000,2014-09-02,NA,No,
109310,3,sales,20,190000,2013-02-04,2013-12-13,yes,312
30556,1,engineer,4,90000,2013-09-16,NA,No,
504345,8,data_science,19,246000,2013-09-16,2014-09-05,yes,354
632607,3,marketing,17,177000,2011-12-19,2013-02-01,yes,410
436116,2,marketing,10,109000,2011-08-08,2015-10-22,yes,1536
903975,3,marketing,28,167000,2013-09-30,2015-10-16,yes,746
875512,1,sales,20,198000,2012-03-14,2013-04-19,yes,401
186535,2,customer_service,14,69000,2011-08-29,2012-08-24,yes,361
307309,3,customer_service,7,73000,2013-04-15,2014-12-19,yes,613
958097,8,sales,17,152000,2012-03-12,2014-02-28,yes,718
711318,3,sales,8,97000,2015-03-09,NA,No,
116644,1,engineer,26,304000,2015-11-05,NA,No,
970302,1,customer_service,22,1.00E+05,2013-04-08,NA,No,
166681,9,customer_service,1,20000,2011-05-02,2012-05-16,yes,380
409657,3,engineer,3,67000,2013-10-14,2014-10-10,yes,361
89281,3,customer_service,21,93000,2015-05-04,NA,No,
627990,3,sales,15,162000,2012-04-02,2013-03-01,yes,333
642574,1,engineer,9,151000,2012-12-10,2014-01-10,yes,396
495964,9,marketing,5,109000,2015-12-07,NA,No,
407517,3,engineer,21,271000,2015-08-31,NA,No,
766721,1,data_science,12,196000,2013-02-12,NA,No,
162862,9,customer_service,10,64000,2014-12-01,NA,No,
460645,3,data_science,5,160000,2011-03-28,2012-03-30,yes,368
507400,2,customer_service,9,86000,2013-04-29,2014-05-02,yes,368
10982,5,engineer,27,184000,2011-06-20,2013-11-01,yes,865
596247,5,customer_service,19,87000,2012-09-17,2013-09-27,yes,375
140437,10,data_science,20,229000,2014-03-03,2015-01-02,yes,305
420376,5,sales,4,30000,2014-10-08,NA,No,
590941,6,marketing,20,167000,2015-12-07,NA,No,
293616,1,customer_service,2,32000,2014-05-05,NA,No,
875515,1,customer_service,14,79000,2014-03-10,NA,No,
814185,1,customer_service,2,32000,2015-06-22,NA,No,
766860,5,design,4,43000,2014-06-04,2015-06-26,yes,387
389222,2,engineer,9,193000,2013-02-19,2013-12-06,yes,290
474539,6,customer_service,9,63000,2015-11-30,NA,No,
573912,1,data_science,25,306000,2012-03-19,2013-06-06,yes,444
120318,8,sales,15,145000,2014-04-07,NA,No,
123510,10,customer_service,18,92000,2013-03-25,2015-03-20,yes,725
627791,4,sales,3,44000,2015-08-10,NA,No,
581583,1,marketing,8,136000,2011-04-11,2013-04-26,yes,746
888728,3,sales,26,128000,2013-03-19,2014-03-21,yes,367
51652,3,engineer,24,264000,2015-10-13,NA,No,
80071,3,customer_service,17,107000,2011-05-23,2014-01-31,yes,984
762544,2,customer_service,13,72000,2015-06-01,NA,No,
189073,2,sales,9,120000,2014-07-21,NA,No,
447645,1,engineer,23,310000,2011-05-17,2012-05-18,yes,367
447381,1,design,4,41000,2011-05-18,2014-05-09,yes,1087
955563,4,customer_service,28,92000,2013-12-02,NA,No,
696084,1,customer_service,16,135000,2012-12-18,2014-12-26,yes,738
168299,6,data_science,17,292000,2014-05-27,NA,No,
850813,10,customer_service,8,67000,2012-03-01,2014-01-17,yes,687
100016,6,marketing,11,108000,2014-08-18,2015-08-21,yes,368
831056,1,customer_service,18,119000,2013-06-10,2014-08-01,yes,417
582624,4,data_science,6,168000,2012-08-27,NA,No,
43050,2,marketing,13,148000,2015-11-11,NA,No,
630183,3,sales,9,97000,2011-05-02,2015-02-06,yes,1376
278501,10,sales,23,150000,2013-05-07,NA,No,
390697,1,design,19,220000,2012-03-05,2013-06-14,yes,466
474976,2,marketing,2,40000,2015-08-10,NA,No,
229229,2,customer_service,15,126000,2012-01-17,2013-01-18,yes,367
169746,7,sales,27,152000,2015-11-25,NA,No,
502939,6,data_science,24,226000,2014-05-05,NA,No,
895393,2,sales,3,49000,2011-05-09,2015-05-29,yes,1481
518354,1,customer_service,18,133000,2015-08-31,NA,No,
332293,9,data_science,19,243000,2014-05-05,NA,No,
32378,8,customer_service,17,88000,2015-04-13,NA,No,
460922,4,customer_service,29,82000,2012-10-08,NA,No,
6.00E+05,2,customer_service,19,119000,2014-12-22,2015-10-09,yes,291
657266,3,customer_service,1,24000,2013-05-13,NA,No,
909192,1,customer_service,5,78000,2013-08-12,NA,No,
332489,1,design,15,212000,2012-10-10,2015-02-20,yes,863
895898,4,customer_service,10,56000,2011-04-04,2012-04-20,yes,382
925648,9,marketing,15,130000,2014-12-10,NA,No,
825963,2,customer_service,26,133000,2014-08-25,NA,No,
103004,3,engineer,5,185000,2013-12-05,2014-12-05,yes,365
633599,1,customer_service,16,104000,2013-06-17,2015-02-13,yes,606
530174,1,marketing,13,140000,2013-08-26,NA,No,
163751,4,customer_service,5,54000,2013-12-02,2014-11-14,yes,347
719930,1,customer_service,7,75000,2011-10-17,2014-09-26,yes,1075
718199,8,customer_service,1,21000,2015-10-05,NA,No,
898252,2,marketing,10,122000,2015-07-06,NA,No,
168953,1,customer_service,17,109000,2015-07-02,NA,No,
646910,7,customer_service,19,96000,2012-07-23,2013-10-11,yes,445
145115,3,customer_service,15,89000,2011-03-28,2015-04-24,yes,1488
426072,7,marketing,14,113000,2014-12-08,NA,No,
260811,1,customer_service,10,91000,2012-10-29,2013-10-11,yes,347
787251,1,data_science,3,74000,2014-09-22,2015-11-20,yes,424
66204,3,customer_service,15,71000,2014-02-03,NA,No,
23115,1,customer_service,8,74000,2015-10-26,NA,No,
647125,1,design,8,127000,2015-03-16,NA,No,
115377,5,marketing,10,101000,2012-07-09,2014-03-28,yes,627
998416,2,data_science,17,322000,2012-02-29,NA,No,
601118,2,data_science,18,304000,2014-08-25,NA,No,
640268,1,customer_service,20,126000,2015-10-19,NA,No,
846348,1,sales,16,233000,2015-07-13,NA,No,
337015,5,engineer,29,217000,2013-03-18,2015-01-02,yes,655
239278,3,engineer,1,54000,2012-12-10,NA,No,
992868,9,data_science,11,191000,2015-06-01,NA,No,
488402,1,marketing,14,141000,2014-11-24,NA,No,
48309,7,sales,17,153000,2015-06-29,NA,No,
722302,2,engineer,9,170000,2013-05-28,2014-06-13,yes,381
207178,1,customer_service,12,78000,2013-05-06,2015-07-31,yes,816
551037,9,customer_service,20,101000,2014-04-07,2015-04-17,yes,375
985830,10,customer_service,25,98000,2013-07-10,2014-06-20,yes,345
497784,2,marketing,3,51000,2014-09-15,NA,No,
596735,3,sales,4,45000,2012-12-31,2014-02-28,yes,424
378181,1,marketing,4,59000,2015-05-26,NA,No,
371708,1,engineer,19,304000,2015-05-13,NA,No,
784707,5,engineer,14,173000,2013-02-25,2014-03-14,yes,382
698606,3,customer_service,15,102000,2015-08-10,NA,No,
43282,4,customer_service,4,28000,2015-06-22,NA,No,
285498,9,engineer,1,65000,2012-12-03,2013-11-22,yes,354
790607,1,data_science,15,297000,2015-08-10,NA,No,
319080,5,marketing,8,115000,2011-03-22,2012-05-25,yes,430
952116,11,engineer,18,177000,2013-02-05,2014-02-21,yes,381
804295,1,engineer,2,70000,2011-03-29,2015-05-08,yes,1501
417556,2,customer_service,18,128000,2011-10-19,2013-10-25,yes,737
879854,5,customer_service,25,91000,2011-08-01,2013-04-12,yes,620
330596,2,data_science,17,254000,2011-12-19,NA,No,
390493,1,design,23,141000,2015-05-04,NA,No,
431752,2,marketing,29,205000,2014-08-27,NA,No,
199880,5,customer_service,15,101000,2012-02-21,2015-09-25,yes,1312
974282,1,design,16,226000,2013-04-15,NA,No,
985535,2,data_science,2,82000,2012-11-19,2015-03-06,yes,837
282163,1,customer_service,9,83000,2015-07-14,NA,No,
712062,3,marketing,26,147000,2014-04-21,2015-03-20,yes,333
978617,3,customer_service,9,70000,2012-01-30,2013-04-01,yes,427
226529,1,customer_service,19,92000,2011-07-11,2012-08-03,yes,389
211638,1,engineer,16,271000,2013-12-16,2014-12-26,yes,375
836062,10,design,16,169000,2013-09-23,2014-10-31,yes,403
235535,1,sales,8,131000,2015-04-13,NA,No,
635247,1,customer_service,6,84000,2015-01-12,NA,No,
246896,4,marketing,4,46000,2013-07-22,NA,No,
275916,8,marketing,8,106000,2012-06-04,2015-05-29,yes,1089
517539,2,customer_service,17,111000,2015-08-24,NA,No,
463050,9,sales,26,165000,2015-09-08,NA,No,
436611,1,sales,20,198000,2015-03-31,NA,No,
224745,1,customer_service,19,108000,2011-01-24,2012-02-24,yes,396
171378,1,engineer,2,79000,2014-06-02,NA,No,
537626,1,marketing,29,196000,2013-12-23,NA,No,
124512,1,customer_service,11,94000,2011-05-11,2013-06-14,yes,765
951303,4,data_science,11,148000,2014-07-08,2015-08-14,yes,402
528189,2,design,13,132000,2014-07-07,NA,No,
864168,3,engineer,20,242000,2015-01-12,NA,No,
392126,1,engineer,9,2.00E+05,2015-08-17,NA,No,
771367,9,data_science,4,66000,2014-08-11,2015-07-07,yes,330
876757,1,customer_service,6,82000,2015-04-27,NA,No,
561043,3,customer_service,18,119000,2012-07-02,2014-03-28,yes,634
553673,6,engineer,18,210000,2015-02-23,NA,No,
219934,10,engineer,26,273000,2013-03-14,2014-05-02,yes,414
549709,2,customer_service,28,131000,2014-11-24,2015-08-07,yes,256
461699,5,customer_service,8,69000,2011-04-11,2012-03-02,yes,326
786074,1,customer_service,10,77000,2012-08-29,NA,No,
759537,1,customer_service,7,78000,2015-11-09,NA,No,
791580,8,marketing,29,142000,2011-09-07,2012-09-07,yes,366
643910,9,customer_service,20,111000,2015-08-03,NA,No,
996641,2,customer_service,22,107000,2015-05-19,NA,No,
489162,1,customer_service,10,64000,2014-06-23,2015-07-24,yes,396
850929,4,customer_service,15,95000,2012-02-01,2013-01-18,yes,352
896418,2,sales,19,193000,2012-04-30,2015-02-13,yes,1019
81245,1,engineer,27,242000,2013-07-08,2014-07-25,yes,382
408935,3,customer_service,26,92000,2015-07-15,NA,No,
850321,1,data_science,4,73000,2012-05-29,NA,No,
531482,10,data_science,25,244000,2011-12-19,2013-12-20,yes,732
110260,2,sales,6,121000,2014-12-10,NA,No,
833223,6,customer_service,21,97000,2015-07-06,NA,No,
801009,4,marketing,4,31000,2014-11-17,2015-11-27,yes,375
930115,1,data_science,5,180000,2013-10-22,NA,No,
408481,1,customer_service,24,104000,2014-02-24,NA,No,
194942,2,marketing,20,213000,2015-03-30,NA,No,
909316,2,customer_service,27,110000,2011-06-06,2012-01-03,yes,211
232873,1,customer_service,17,102000,2013-02-19,2014-03-21,yes,395
762095,2,customer_service,1,27000,2015-07-13,NA,No,
744283,1,customer_service,7,70000,2014-08-18,2015-10-02,yes,410
326908,4,customer_service,7,76000,2012-02-06,2015-01-02,yes,1061
709637,1,data_science,19,302000,2011-06-21,NA,No,
258465,8,data_science,4,54000,2015-07-27,NA,No,
278488,1,customer_service,12,78000,2011-08-01,2015-05-15,yes,1383
711005,3,marketing,16,122000,2015-06-08,NA,No,
255,1,engineer,27,315000,2011-05-11,2015-05-15,yes,1465
